seller_id,total_sales,total_freight,total_orders,avg_review_score,review_count,delay_rate,repurchase_rate_x,repurchase_rate_y,repurchase_rate_dup1,avg_growth_rate_dup2,repurchase_rate,avg_growth_rate,trust_score
0015a82c2db000af6aaaf3ae2ecb0532,2685.0,63.06,3,3.6666666666666665,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.010521102014987373
001cca7ae9ae17fb1caed9dfb1094831,25080.03,8854.14,200,3.902542372881356,236.0,0.05439330543933055,0.155,0.155,0.155,0.0642042017930476,0.155,0.0642042017930476,0.12940191679825455
001e6ad469a905060d959994f1b41e4f,250.0,17.94,1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.003304609824469364
002100f778ceb8431b7a1020ff7ab48f,1234.5,793.66,51,3.982142857142857,56.0,0.16363636363636364,0.0784313725490196,0.0784313725490196,0.0784313725490196,0.6313386933607773,0.0784313725490196,0.6313386933607773,0.1175378248956534
003554e2dce176b5555353e4f3555ac8,120.0,19.38,1,5.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.008658359741742378
004c9cd9d87a3c30c522c48c4fc07416,19712.71,3551.23,158,4.132947976878612,173.0,0.07647058823529412,0.06329113924050633,0.06329113924050633,0.06329113924050633,0.23749283317292533,0.06329113924050633,0.23749283317292533,0.07910592640951257
00720abe85ba0859807595bbf045a33b,1007.5,315.98,13,3.6538461538461537,26.0,0.07692307692307693,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.24036736380787557,0.5384615384615384,0.24036736380787557,0.3823261299712456
00ab3eff1b5192e5f1a63bcecfee11c8,98.0,12.08,1,5.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.008657573430222177
00d8b143d12632bad99c0ad66ad52825,86.0,51.1,1,5.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.008661776426868517
00ee68308b45bc5e2660cd833c3f81cc,20260.0,3180.66,135,4.3313953488372094,172.0,0.08139534883720931,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.6164141290390898,0.18518518518518517,0.6164141290390898,0.15797827821727187
